country,year,co2,World,co2_per_capita,population
Oman,2016,2.18,First,0.271,4479217
Oman,2020,2.159,First,0.27,5106622
Pakistan,2008,2.131,First,0.264,171648984
Pakistan,2012,2.125,First,0.263,187280125
Pakistan,2016,2.064,First,0.263,203631356
Pakistan,2020,2.052,First,0.262,220892331
Palau,2008,2.015,First,0.258,18708
Palau,2012,2.014,First,0.257,17635
Palau,2016,1.997,First,0.257,17718
Palau,2020,1.979,First,0.256,18092
Palestine,2008,1.96,First,0.254,3856692
Palestine,2012,1.957,First,0.254,4241572
Palestine,2016,1.935,First,0.253,4635644
Palestine,2020,1.925,First,0.253,5101416
Panama,2008,1.916,First,0.248,3516204
Panama,2012,1.811,First,0.247,3770635
Panama,2016,1.796,First,0.247,4037073
Panama,2020,1.78,First,0.247,4314768
Panama Canal Zone,2008,1.773,First,0.242,
Panama Canal Zone,2012,1.77,First,0.241,
Panama Canal Zone,2016,1.761,First,0.241,
Panama Canal Zone,2020,1.754,First,0.241,
Papua New Guinea,2008,1.734,First,0.236,6976200
Papua New Guinea,2012,1.707,First,0.235,7631003
Papua New Guinea,2016,1.704,First,0.235,8271766
Papua New Guinea,2020,1.69,First,0.235,8947027
Paraguay,2008,1.612,First,0.231,6081296
Paraguay,2012,1.595,First,0.231,6421510
Paraguay,2016,1.523,First,0.231,6777878
Paraguay,2020,1.459,First,0.23,7132530
Peru,2008,1.436,First,0.219,28562321
Peru,2012,1.405,First,0.219,29506790
Peru,2016,1.395,First,0.219,30926036
Peru,2020,1.393,First,0.218,32971845
Philippines,2008,1.357,First,0.212,90901967
Philippines,2012,1.348,First,0.212,97212639
Philippines,2016,1.33,First,0.211,103663812
Philippines,2020,1.33,First,0.211,109581085
Poland,2008,1.306,First,0.196,38356786
Poland,2012,1.291,First,0.195,38227033
Poland,2016,1.283,First,0.195,37989218
Poland,2020,1.263,First,0.195,37846605
Portugal,2008,1.26,First,0.186,10595312
Portugal,2012,1.239,First,0.186,10526308
Portugal,2016,1.179,First,0.186,10325540
Portugal,2020,1.169,First,0.185,10196707
Puerto Rico,2008,1.156,First,0.18,3608030
Puerto Rico,2012,1.132,First,0.18,3536570
Puerto Rico,2016,1.132,First,0.179,3283121
Puerto Rico,2020,1.11,First,0.179,2860840
Qatar,2008,1.087,First,0.174,1436670
Qatar,2012,1.087,First,0.174,2196078
Qatar,2016,1.055,First,0.174,2654379
Qatar,2020,1.042,First,0.174,2881060
Reunion,2008,1.036,First,0.17,816325
Reunion,2012,1.033,First,0.169,843984
Reunion,2016,1.022,First,0.169,869742
Reunion,2020,1.013,First,0.168,895308
Romania,2008,1.009,First,0.159,20829521
Romania,2012,0.963,First,0.159,20227467
Romania,2016,0.956,First,0.159,19796280
Romania,2020,0.927,First,0.158,19237682
Russia,2008,0.912,First,0.147,143248764
Russia,2012,0.905,First,0.147,143993888
Russia,2016,0.883,First,0.147,145275374
Russia,2020,0.879,First,0.146,145934460
Rwanda,2008,0.877,First,0.143,9524532
Rwanda,2012,0.843,First,0.142,10549668
Rwanda,2016,0.832,First,0.142,11668829
Rwanda,2020,0.828,First,0.142,12952209
Ryukyu Islands,2008,0.802,First,0.139,
Ryukyu Islands,2012,0.795,First,0.139,
Ryukyu Islands,2016,0.773,First,0.139,
Ryukyu Islands,2020,0.773,First,0.139,
Saint Helena,2008,0.762,First,0.136,5153
Saint Helena,2012,0.758,First,0.136,5416
Saint Helena,2016,0.753,First,0.136,5958
Saint Helena,2020,0.728,First,0.136,6071
Saint Kitts and Nevis,2008,0.722,First,0.135,48178
Saint Kitts and Nevis,2012,0.718,First,0.134,49881
Saint Kitts and Nevis,2016,0.718,First,0.134,51629
Saint Kitts and Nevis,2020,0.706,First,0.134,53192
Saint Lucia,2008,0.696,First,0.132,170011
Saint Lucia,2012,0.684,First,0.131,176654
Saint Lucia,2016,0.678,First,0.131,180028
Saint Lucia,2020,0.658,First,0.131,183629
Saint Pierre and Miquelon,2008,0.649,First,0.128,6286
Saint Pierre and Miquelon,2012,0.645,First,0.127,6251
Saint Pierre and Miquelon,2016,0.638,First,0.127,5933
Saint Pierre and Miquelon,2020,0.63,First,0.127,5795
Saint Vincent and the Grenadines,2008,0.63,First,0.123,108401
Saint Vincent and the Grenadines,2012,0.624,First,0.123,108435
Saint Vincent and the Grenadines,2016,0.623,First,0.123,109467
Saint Vincent and the Grenadines,2020,0.623,First,0.123,110947
Samoa,2008,0.619,First,0.121,183270
Samoa,2012,0.614,First,0.121,189089
Samoa,2016,0.608,First,0.12,194540
Samoa,2020,0.605,First,0.12,198410
Sao Tome and Principe,2008,0.602,First,0.118,171122
Sao Tome and Principe,2012,0.601,First,0.117,188394
Sao Tome and Principe,2016,0.59,First,0.117,203221
Sao Tome and Principe,2020,0.583,First,0.117,219161
Saudi Arabia,2008,0.582,First,0.113,25888535
Saudi Arabia,2012,0.578,First,0.113,29154906
Saudi Arabia,2016,0.562,First,0.113,32443443
Saudi Arabia,2020,0.55,First,0.113,34813867
Senegal,2008,0.539,First,0.11,12004700
Senegal,2012,0.539,First,0.109,13401990
Senegal,2016,0.535,First,0.109,14993514
Senegal,2020,0.534,First,0.109,16743930
Serbia,2008,0.531,First,0.102,9060105
Serbia,2012,0.528,First,0.102,8940116
Serbia,2016,0.526,First,0.102,8853963
Serbia,2020,0.525,First,0.102,8737370
Seychelles,2008,0.514,First,0.1,90450
Seychelles,2012,0.506,First,0.1,92608
Seychelles,2016,0.502,First,0.1,95711
Seychelles,2020,0.5,First,0.099,98340
Sierra Leone,2008,0.498,First,0.096,6133599
Sierra Leone,2012,0.495,First,0.096,6712586
Sierra Leone,2016,0.491,First,0.096,7328846
Sierra Leone,2020,0.491,First,0.096,7976985
Singapore,2008,0.491,First,0.093,4775810
Singapore,2012,0.487,First,0.092,5369469
Singapore,2016,0.487,First,0.092,5653625
Singapore,2020,0.487,First,0.092,5850343
Sint Maarten (Dutch part),2008,0.469,First,0.087,33424
Sint Maarten (Dutch part),2012,0.469,First,0.087,36238
Sint Maarten (Dutch part),2016,0.467,First,0.087,40812
Sint Maarten (Dutch part),2020,0.466,First,0.087,42882
Slovakia,2008,0.458,First,0.08,5399362
Slovakia,2012,0.454,First,0.08,5414894
Slovakia,2016,0.451,First,0.08,5442001
Slovakia,2020,0.44,First,0.08,5459643
Slovenia,2008,0.436,First,0.075,2023049
Slovenia,2012,0.43,First,0.075,2057826
Slovenia,2016,0.425,First,0.075,2074205
Slovenia,2020,0.425,First,0.075,2078931
Solomon Islands,2008,0.418,First,0.073,503366
Solomon Islands,2012,0.414,First,0.073,556066
Solomon Islands,2016,0.409,First,0.073,619438
Solomon Islands,2020,0.401,First,0.073,686878
Somalia,2008,0.4,First,0.071,11397188
Somalia,2012,0.379,First,0.071,12715487
Somalia,2016,0.366,First,0.07,14185635
Somalia,2020,0.366,First,0.07,15893219
South Africa,2008,0.351,First,0.066,49779472
South Africa,2012,0.348,First,0.066,52832659
South Africa,2016,0.337,First,0.066,56207649
South Africa,2020,0.311,First,0.066,59308690
South America,2008,0.308,First,0.062,384439475
South America,2012,0.306,First,0.062,400581563
South America,2016,0.304,First,0.062,416164871
South America,2020,0.301,First,0.062,430759771
South Korea,2008,0.301,First,0.059,49182458
South Korea,2012,0.299,First,0.059,50060639
South Korea,2016,0.296,First,0.058,50983446
South Korea,2020,0.295,First,0.058,51269183
South Sudan,2008,0.294,First,0.057,8736932
South Sudan,2012,0.293,First,0.057,10113648
South Sudan,2016,0.289,First,0.057,10832520
South Sudan,2020,0.289,First,0.057,11193729
Spain,2008,0.287,First,0.052,46068811
Spain,2012,0.271,First,0.052,47063059
Spain,2016,0.267,First,0.052,46634131
Spain,2020,0.258,First,0.051,46754783
Sri Lanka,2008,0.253,First,0.05,19983984
Sri Lanka,2012,0.246,First,0.05,20532599
Sri Lanka,2016,0.245,First,0.049,21021177
Sri Lanka,2020,0.242,First,0.049,21413250
St. Kitts-Nevis-Anguilla,2008,0.238,First,0.048,
St. Kitts-Nevis-Anguilla,2012,0.238,First,0.048,
St. Kitts-Nevis-Anguilla,2016,0.231,First,0.048,
St. Kitts-Nevis-Anguilla,2020,0.227,First,0.048,
Sudan,2008,0.224,First,0.046,33060843
Sudan,2012,0.22,First,0.046,36193781
Sudan,2016,0.22,First,0.046,39847433
Sudan,2020,0.219,First,0.046,43849269
Suriname,2008,0.219,First,0.044,517121
Suriname,2012,0.216,First,0.044,541247
Suriname,2016,0.216,First,0.044,564883
Suriname,2020,0.216,First,0.044,586634
Sweden,2008,0.213,First,0.038,9236433
Sweden,2012,0.213,First,0.038,9542817
Sweden,2016,0.212,First,0.038,9836003
Sweden,2020,0.209,First,0.038,10099270
Switzerland,2008,0.209,First,0.032,7622826
Switzerland,2012,0.205,First,0.032,8008006
Switzerland,2016,0.203,First,0.032,8379915
Switzerland,2020,0.202,First,0.032,8654618
Syria,2008,0.202,First,0.029,20664037
Syria,2012,0.198,First,0.029,20438861
Syria,2016,0.191,First,0.029,17465567
Syria,2020,0.191,First,0.029,17500657
Taiwan,2008,0.188,First,0.026,23019042
Taiwan,2012,0.187,First,0.026,23346898
Taiwan,2016,0.185,First,0.026,23618201
Taiwan,2020,0.183,First,0.026,23816775
Tajikistan,2008,0.182,First,0.019,7209924
Tajikistan,2012,0.18,First,0.019,7874838
Tajikistan,2016,0.172,First,0.019,8663575
Tajikistan,2020,0.165,First,0.019,9537642
Tanzania,2008,0.165,First,0.017,41853944
Tanzania,2012,0.165,First,0.017,47053033
Tanzania,2016,0.161,First,0.017,53049231
Tanzania,2020,0.154,First,0.017,59734213
Thailand,2008,0.154,First,0.014,66530979
Thailand,2012,0.151,First,0.014,67835969
Thailand,2016,0.15,First,0.014,68971313
Thailand,2020,0.15,First,0.014,69799978
Timor,2008,0.148,First,0.014,1055428
Timor,2012,0.147,First,0.014,1133002
Timor,2016,0.144,First,0.013,1219289
Timor,2020,0.143,First,0.013,1318442
Togo,2008,0.143,First,0.012,6083417
Togo,2012,0.143,First,0.012,6773807
Togo,2016,0.141,First,0.012,7509952
Togo,2020,0.139,First,0.012,8278736
Tonga,2008,0.139,First,0.01,103384
Tonga,2012,0.136,First,0.01,102736
Tonga,2016,0.128,First,0.01,101143
Tonga,2020,0.128,First,0.01,105697
Trinidad and Tobago,2008,0.125,First,0.007,1314449
Trinidad and Tobago,2012,0.125,First,0.007,1344814
Trinidad and Tobago,2016,0.123,First,0.007,1377563
Trinidad and Tobago,2020,0.121,First,0.007,1399491
Tunisia,2008,0.117,First,0.006,10414425
Tunisia,2012,0.114,First,0.006,10846993
Tunisia,2016,0.113,First,0.006,11303942
Tunisia,2020,0.11,First,0.006,11818618
Turkey,2008,0.11,First,0.004,70418612
Turkey,2012,0.106,First,0.004,74651046
Turkey,2016,0.095,First,0.004,79827868
Turkey,2020,0.084,First,0.004,84339067
Turkmenistan,2008,0.079,First,0.001,4935765
Turkmenistan,2012,0.07,First,0.001,5267906
Turkmenistan,2016,0.07,First,0.001,5662371
Turkmenistan,2020,0.068,First,0.001,6031187
Turks and Caicos Islands,2008,0.066,First,0.001,31200
Turks and Caicos Islands,2012,0.066,First,0.001,34067
Turks and Caicos Islands,2016,0.066,First,0.001,36558
Turks and Caicos Islands,2020,0.066,First,0.001,38718
Tuvalu,2008,0.057,First,0,10315
Tuvalu,2012,0.055,First,0,10744
Tuvalu,2016,0.051,First,0,11232
Tuvalu,2020,0.051,First,0,11792
Uganda,2008,0.051,First,0,30431734
Uganda,2012,0.051,First,0,34558700
Uganda,2016,0.048,First,0,39649173
Uganda,2020,0.044,First,,45741000
Ukraine,2008,0.044,First,,46158709
Ukraine,2012,0.044,First,,45453805
Ukraine,2016,0.029,First,,44713708
Ukraine,2020,0.026,First,,43733759
United Arab Emirates,2008,0.026,First,,7089486
United Arab Emirates,2012,0.026,First,,9141598
United Arab Emirates,2016,0.025,First,,9360975
United Arab Emirates,2020,0.022,First,,9890400
United Kingdom,2008,0.015,First,,62145098
United Kingdom,2012,0.011,First,,64525300
United Kingdom,2016,0.011,First,,66297944
United Kingdom,2020,0.011,First,,67886004
United States,2008,0.011,First,,303486022
United States,2012,0.011,First,,314043885
United States,2016,0.009,First,,323015992
United States,2020,0.008,First,,331002647
Uruguay,2008,0.007,First,,3340221
Uruguay,2012,0.007,First,,3378975
Uruguay,2016,0.007,First,,3424139
Uruguay,2020,0.007,First,,3473727
